﻿Wskaźnik;Jednostka;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Buddyjska Wspólnota Zen Kannon;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;.;32;41;.;38;49;60;66;.;74;80
duchowni;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6;6
obiekty/miejsca sprawowania kultu;szt.;—;—;—;—;—;—;—;.;1;1;.;.;.;.;—;.;4;4
jednostki kościelne;szt.;—;—;—;—;—;—;—;.;—;—;.;—;—;1;.;.;3;4
Międzynarodowe Towarzystwo Świadomości Kryszny;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;2000;3000;.;.;827;3000;5043;5043;5043;.;.
duchowni;osoba;.;.;.;.;.;.;.;.;100;89;.;323;.;275;275;275;.;.
obiekty/miejsca sprawowania kultu (wynajęte);szt.;.;.;.;.;.;.;.;.;3;3;.;10;.;5;5;5;.;.
jednostki kościelne (ośrodki);szt.;.;.;.;.;.;.;.;2;2;3;.;5;.;5;5;5;.;.
Shri Vidya;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;16;20;12;19;17;13;18
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;1;2;2;2;1;1;1
jednostki kościelne;szt.;—;—;—;—;—;—;—;—;—;—;—;1;.;1;1;1;—;—
Stowarzyszenie Buddyjskie Karma Kagyu;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;92;243;302;334;.;.;.;.;.;352;370;.;.;.;1020
duchowni;osoba;—;—;—;2;3;3;5;.;.;.;.;.;7;7;.;.;.;12
obiekty/miejsca sprawowania kultu;szt.;—;—;—;—;—;—;1;1;1;.;.;.;—;—;.;.;.;3
jednostki kościelne (ośrodki);szt.;—;—;—;2;6;7;8;12;12;.;.;.;19;.;.;.;.;22
Stowarzyszenie Buddyjskie Sangha "Kandzeon";;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;.;.;.;98;119;87;109;109;.;336;138;.;138;166;138;138
duchowni (mnisi-kapłani Zen);osoba;—;—;.;.;.;.;1;2;2;2;.;4;5;.;5;6;6;6
obiekty/miejsca sprawowania kultu (wynajęte);szt.;—;—;.;.;.;.;6;3;6;6;.;.;4;.;4;2;5;5
jednostki kościelne (ośrodki);szt.;—;—;.;.;.;.;4;3;4;4;.;5;.;.;.;5;.;.
Szkoła Zen Kwan Um w Polsce;;;;;;;;;;;;;;;;;;
członkowie;osoba;200;250;.;450;200;.;200;800;1000;486;452;174;496;496;576;.;180;180
duchowni (nauczyciele);osoba;12;12;12;20;47;47;50;65;77;72;56;63;55;55;64;.;.;.
obiekty/miejsca sprawowania kultu;szt.;8;8;8;10;13;15;12;21;25;4;1;1;1;1;1;.;9;8
jednostki kościelne (ośrodki i grupy);szt.;8;8;8;10;13;15;15;21;24;20;—;—;3;3;1;.;1;11
Stowarzyszenie Świadomości Duchowej Miłości;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;.;.;.;.;.;.;.;.;15;15;15;19;18;18;16
obiekty/miejsca sprawowania kultu;szt.;—;—;—;.;.;.;.;.;.;.;.;—;—;1;1;1;1;1
Wspólnota Bez Bram Związek Buddyjski Zen Rinzai;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;.;.;.;.;.;47;17;25;24;29;35;.;.;51;87;72
duchowni;osoba;—;—;.;.;.;.;.;—;17;25;24;29;35;.;27;31;26;26
obiekty/miejsca sprawowania kultu (domy modlitwy);szt.;—;—;.;.;.;.;.;3;3;3;3;3;3;2;3;—;—;4
jednostki kościelne (ośrodki);szt.;—;—;.;.;.;.;.;3;3;3;3;3;3;3;3;3;4;4
Związek Ajapa Yogi w Polsce;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;80;37;66;75;.;93;123;.;199;158;100;92;107;110
duchowni;osoba;.;.;.;.;1;1;1;1;.;1;1;.;1;1;.;.;—;—
obiekty/miejsca sprawowania kultu (wynajęte);szt.;.;.;.;.;.;1;1;1;.;1;—;.;—;—;—;—;—;—
jednostki kościelne (ośrodki);szt.;.;.;.;.;1;1;1;1;.;1;2;.;2;2;2;2;2;2
Związek Buddyjski Tradycji Karma Kamizang w Polsce;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;480;805;1280;1380;1380
duchowni;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;5;4;5;5;6
obiekty/miejsca sprawowania kultu;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;3;2
jednostki kościelne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7;8;7;7
Związek Buddystów Zen "Bodhidharma";;;;;;;;;;;;;;;;;;
członkowie;osoba;187;212;.;193;214;180;180;160;.;160;.;157;151;111;102;115;72;48
duchowni;osoba;1;1;.;—;—;6;15;6;.;6;.;18;15;10;7;6;3;4
obiekty/miejsca sprawowania kultu (własne);szt.;9;.;.;9;10;9;7;5;.;5;.;2;2;2;1;2;1;1
jednostki kościelne (zenda);szt.;9;9;.;9;10;9;7;5;.;5;.;.;6;.;1;.;.;—
