﻿Wskaźnik;Jednostka;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Adwentyści Dnia Siódmego-Poruszenie Reformacyjne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;57;.;55;51;65;74;85;88;83
duchowni;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;3;3;3;3;3;3
jednostki kościelne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;.;3;3;3;3;4;3;3
Chrześcijańska Wspólnota Ewangeliczna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;—;.;.;42;35;40;50;100;80;140
duchowni;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;—;.;.;2;2;1;1;4;3;1
obiekty/miejsca sprawowania kultu;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;—;.;.;1;1;1;1;1;1;1
jednostki kościelne (zbory);szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;—;.;.;—;1;1;1;1;1;1
Chrześcijańska Wspólnota Jezus Panem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;—;.;.;.;15;15;18;20;22;25
duchowni;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;—;.;.;.;1;1;1;1;1;1
obiekty/miejsca sprawowania kultu;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;—;.;.;.;1;1;1;1;1;1
jednostki kościelne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;—;.;.;.;1;1;1;1;1;1
Chrześcijańska Wspólnota Zielonoświątkowa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;900;850;910;1155;1270;1470;1545;1553;1588;.;.;.;.
duchowni;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;46;47;48;48;49;45;52;52;54;.;.;.;.
obiekty/miejsca sprawowania kultu (domy modlitwy);szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;1;1;3;5;5;6;.;.;.;.
jednostki kościelne (zbory);szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;11;13;13;12;13;13;14;15;16;.;.;.;.
Ewangeliczna Wspólnota Zielonoświątkowa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;312;320;326;330;449;449;455;461;467;465;465;375;396;396;393;475;480;479;521
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8;8;8;8;7;7;7;7;7;9;9;9;9;9;5;10;28;28;28
obiekty/miejsca sprawowania kultu (domy modlitwy);szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;1;1;1;1;1;1;1;2;3;3;4;4;4;4;4;4;4
jednostki kościelne (zbory);szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;3;3;3;3;3;3;3;3;3;1;4;4;4;4;6;6;6;6
Ewangeliczny Związek Braterski;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;350;320;370;430;420;630;760;760;540;525;535
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;20;18;18;23;19;17;21;21;21;22;25
obiekty/miejsca sprawowania kultu (domy modlitwy);szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;2;5;9;9;8;7;8;8;8;6;8;8
jednostki kościelne (zbory i placówki);szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;15;20;24;24;25;.;20;23;24;30;27;27
Jednota Braci Polskich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;.;.;130;140;250;250;250;250;250;250;200;250;.;.;.;112;.;.;30;22;22;22;22;22;22;50;50;50;44;74;88;120;151;170;205;132;161;174;212;164;72;200;160;225
duchowni;osoba;.;.;.;.;.;.;.;.;1;1;1;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;12;13;15;16;16;15;15;19;22;22;15;20;21;15;18
obiekty/miejsca sprawowania kultu;szt.;.;.;.;.;.;.;.;.;—;—;—;—;—;1;—;1;1;1;1;1;1;1;—;—;—;—;—;1;—;—;—;—;—;—;—;—;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
jednostki kościelne (zbory);szt.;.;.;.;.;.;.;.;.;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;3;3;3;.;5;7;7;7;7;7;7
Kościół Adwentystów Dnia Siódmego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie (dorośli ochrzczeni, dzieci i młodzież, stali sympatycy);osoba;5781;.;.;5488;5005;.;.;.;.;5105;5378;5642;5926;5988;.;6309;6235;.;6411;6586;6500;6620;6750;6800;.;6901;6700;6630;6600;6505;6530;6794;6963;6809;7289;7289;8060;8229;8997;10 036;9398;9236;9618;8418;8915;8963;10 024;6958;6720;7389;9189
duchowni;osoba;27;.;.;38;49;.;.;.;.;53;70;53;51;51;.;60;57;54;65;64;63;62;61;58;57;55;60;67;66;66;71;68;64;64;69;74;81;84;94;92;94;89;89;86;91;87;81;79;68;83;76
obiekty/miejsca sprawowania kultu (kościoły, kaplice, domy modlitwy: własne, wynajęte i w mieszkaniach prywatnych);szt.;.;.;.;62;.;.;.;.;.;.;72;73;75;.;.;.;95;105;110;108;109;112;115;114;115;117;117;124;124;122;124;124;120;120;123;120;121;121;124;125;123;123;123;110;111;65;69;68;78;94;80
jednostki kościelne (zbory i grupy);szt.;95;.;.;70;106;.;.;.;.;103;72;83;85;91;.;96;96;105;110;108;109;112;115;114;115;117;117;124;124;124;120;120;120;120;123;120;121;121;124;125;123;123;123;99;135;129;160;138;140;142;139
Kościół Boży w Chrystusie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;350;.;635;727;890;982;1155;1252;1300;1347;1555
duchowni;osoba;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;28;.;39;30;48;72;72;75;89;73;154
obiekty/miejsca sprawowania kultu (kaplice własne);szt.;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10;.;2;5;6;8;6;6;6;5;6
jednostki kościelne (zbory i placówki);szt.;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10;.;14;9;16;17;19;18;22;21;23
Kościół Chrześcijan Baptystów;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie (dorośli ochrzczeni, dzieci i młodzież, stali sympatycy);osoba;4146;.;.;5284;4206;4230;.;.;4334;4007;3920;4060;4033;3943;.;4305;4110;.;3986;4065;3984;4040;3984;.;.;.;.;6061;6061;5734;5734;5734;5734;5765;5925;6023;6103;6103;6140;6146;6146;6157;6174;5037;5340;5447;5589;5870;5894;6218;4107
