﻿Wskaźnik;Jednostka;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Kościół Katolicki Mariawitów;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie (łącznie z diasporą);osoba;5330;.;.;5270;4059;4012;.;.;4144;4154;4167;4202;4221;4209;.;4051;4007;.;3937;3944;3920;3927;3945;3639;.;3961;3959;3954;3991;3984;3998;4029;4015;3918;3898;3904;3895;3903;3884;3860;3843;3232;3224;3232;3237;3244;3237;3242;3011;3003;2904
duchowni (mężczyźni i kobiety);osoba;53;.;.;40;41;40;.;.;39;36;37;37;39;37;.;37;38;37;37;37;40;40;42;43;41;39;38;37;36;35;35;34;33;31;30;30;28;29;26;26;26;24;21;21;21;20;19;18;18;17;17
obiekty/miejsca sprawowania kultu (kościoły i kaplice);szt.;27;.;.;28;26;28;.;.;26;26;26;26;25;25;.;26;26;26;26;26;27;27;27;25;23;25;36;37;38;37;37;37;37;37;36;36;33;35;35;34;34;33;32;16;19;19;17;17;17;17;17
jednostki kościelne (parafie);szt.;28;.;.;24;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;24;24;24;24;24;36;24;22;23;23;23;23;23;23;23;23;23;23;23;23;23;22;21;20;20;20;20;20;20;20;20
Kościół Polskokatolicki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;16 875;20 632;27 000;.;.;34 090;44 230;47 687;27 373;32 764;81 200;.;56 477;57 186;29 227;30 854;23 000;23 800;27 190;25 802;28 268;.;25 171;27 390;28 738;28 990;.;32 150;32 450;32 850;.;33 700;36 150;48 300;48 300;49 300;.;48 800;52 400;52 400;52 400;52 400;52 400;61 376;23 087;23 969;22 015;21 730
duchowni (księża);osoba;.;.;.;50;47;54;.;.;49;54;55;71;78;90;.;108;123;126;122;121;103;103;98;95;102;92;101;103;103;90;105;112;116;105;121;116;116;114;110;102;115;113;113;113;110;109;104;101;99;100;105
obiekty/miejsca sprawowania kultu (kościoły i kaplice własne i wynajęte);szt.;.;.;.;53;52;58;.;.;62;55;56;72;73;75;.;78;91;91;89;97;96;91;88;88;89;86;88;89;89;89;89;92;93;93;92;95;98;97;97;99;99;100;100;92;87;87;85;86;86;86;86
jednostki kościelne (parafie);szt.;.;.;.;63;57;58;.;.;62;46;48;67;62;75;75;78;86;91;91;94;94;86;85;85;85;83;82;84;84;84;84;87;88;88;87;90;93;92;92;93;93;94;94;91;86;86;85;86;86;86;86
Kościół Starokatolicki Mariawitów;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;30 890;.;.;31 411;30 858;19 690;.;.;19 859;20 869;20 864;20 668;20 610;20 750;.;21 035;21 874;.;23 045;23 745;23 445;23 455;23 755;23 948;.;24 089;24 123;24 445;.;24 499;24 500;24 500;24 400;24 650;24 850;24 900;.;24 800;24 950;24 615;24 774;24 774;24 774;.;.;26 263;26 193;26 198;25 904;25 900;25 655
duchowni (księża);osoba;47;.;.;50;37;41;.;.;38;40;.;41;40;40;.;41;41;40;40;39;37;37;33;33;30;30;30;33;33;31;30;30;29;29;29;29;30;30;30;29;29;29;29;29;29;34;31;32;32;28;28
obiekty/miejsca sprawowania kultu (kościoły i kaplice);szt.;61;.;.;61;63;56;.;.;63;60;.;60;60;60;.;60;60;60;60;59;59;59;59;59;59;59;59;56;56;55;55;55;55;55;55;55;55;55;56;56;56;56;56;56;56;55;46;46;45;45;45
jednostki kościelne (parafie);szt.;43;.;.;43;53;57;.;.;55;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;42;42;42;42;42;42;42;42;42;42;41;41;41;41;41;41;42;36;36;36;38;38
