Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Jednostka miary;"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"biblioteki i filie";"";"ob.";;;;;;;;;;;;;16;;17;;16;17;16;15;15;15;14;13;13;13;12;12;12;12;
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"powierzchnia pomieszczeń bibliotecznych";"";"m2";;;;;;;;;;;;;5896;;7834;;6486;6666;6234;6173;6174;6134;6119;5939;5919;5919;5865;5741;5746;5746;
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"pracownicy (w działalności podstawowej)";"";"osoba";;;;;;;;;;;;;99;;107;;97;88;82;79;83;80;64;62;48;55;51;50;49;49;
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"księgozbiór";"";"wol.";;;;;;;;;;;;;504254;;539179;;536876;551905;549573;500678;527715;516893;517119;507495;508784;511817;503775;494689;496541;501116;
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"zbiory specjalne";"";"szt.";;;;;;;;;;;;;137024;;118058;;148101;149424;150166;145484;61887;149084;64960;66263;66191;67961;68692;59758;60365;60774;
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"czytelnicy (użytkownicy aktywnie wypożyczający) w ciągu roku";"";"osoba";;;;;;;;;;;;;36016;;17800;;12451;10071;8152;7732;5753;5268;5922;4473;4064;3066;2864;3162;3218;3058;
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"czytelnicy indywidualni zarejestrowani w ciągu roku";"";"osoba";;;;;;;;;;;;;35882;;17718;;;;;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"biblioteki i filie";"";"ob.";15;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;14;12;12;12;12;12;12;12;12;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"pracownicy bibliotek (działalności podstawowej)";"";"osoba";56;77;76;52;51;50;50;50;50;50;49;51;52;54;56;79;80;79;81;80;83;81;83;80;66;63;62;65;63;64;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"księgozbiór";"";"wol.";441099;412167;417399;408306;402447;402887;383522;394872;398798;401799;405253;407749;377987;375014;373020;375007;361442;350637;346622;351215;356278;349295;346907;337682;341612;338035;337429;332922;329259;327463;
