,Wymiar 1,Jednostka miary,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,biblioteki i filie,ob.,,,,,,,,,,,,,16,,17,,16,17,16,15,15,15,14,13,13,13,12,12,12,12
1,powierzchnia pomieszcze? bibliotecznych,m2,,,,,,,,,,,,,5896,,7834,,6486,6666,6234,6173,6174,6134,6119,5939,5919,5919,5865,5741,5746,5746
2,pracownicy (w dzia?alno?ci podstawowej),osoba,,,,,,,,,,,,,99,,107,,97,88,82,79,83,80,64,62,48,55,51,50,49,49
3,ksi?gozbi?r,wol.,,,,,,,,,,,,,504254,,539179,,536876,551905,549573,500678,527715,516893,517119,507495,508784,511817,503775,494689,496541,501116
4,zbiory specjalne,szt.,,,,,,,,,,,,,137024,,118058,,148101,149424,150166,145484,61887,149084,64960,66263,66191,67961,68692,59758,60365,60774
5,czytelnicy (u?ytkownicy aktywnie wypo?yczaj?cy) w ci?gu roku,osoba,,,,,,,,,,,,,36016,,17800,,12451,10071,8152,7732,5753,5268,5922,4473,4064,3066,2864,3162,3218,3058
6,czytelnicy indywidualni zarejestrowani w ci?gu roku,osoba,,,,,,,,,,,,,35882,,17718,,,,,,,,,,,,,,,
7,biblioteki i filie,ob.,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,12,12,12,12,12,12,12,12
8,pracownicy bibliotek (dzia?alno?ci podstawowej),osoba,56.0,77.0,76.0,52.0,51.0,50.0,50.0,50,50,50,49,51,52,54,56,79,80,79,81,80,83,81,83,80,66,63,62,65,63,64
9,ksi?gozbi?r,wol.,441099.0,412167.0,417399.0,408306.0,402447.0,402887.0,383522.0,394872,398798,401799,405253,407749,377987,375014,373020,375007,361442,350637,346622,351215,356278,349295,346907,337682,341612,338035,337429,332922,329259,327463
10,zbiory elektroniczne  zinwentaryzowane,szt.,,,,,,,,,,,,,,,,,66,67,121,121,121,121,121,123,,,,,,
11,odsetek zbior?w elektronicznych,%,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
12,czytelnicy w ci?gu roku,osoba,23425.0,24289.0,25372.0,26156.0,26697.0,26953.0,27138.0,27095,27424,27309,27068,25906,24533,23350,24659,24529,25130,25434,29443,28661,27206,25101,24313,24736,23539,19575,19528,19369,21338,21185
13,wypo?yczenia ksi?gozbioru na zewn?trz,wol.,365869.0,371505.0,354256.0,364715.0,364863.0,367520.0,364650.0,362279,384467,388285,391519,371479,364583,351485,354083,363635,370736,376542,439666,430103,414287,395134,386062,393186,402627,301171,355084,368414,386173,396144
14,punkty biblioteczne og??em,ob.,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4,4,5,5,5,5,4,3,2,2,2,2,3,3,3,3,3,2,2,1,1,0,0
