date,avg_temperature,avg_airpressure,avg_precipitation
2000-01,4.9,1022.9,40
2000-02,6.1,1013.7,46
2000-03,7.3,1022.0,21
2000-04,6.5,1006.0,90
2000-05,10.5,1014.8,50
2000-06,13.3,1016.4,31
2000-07,14.6,1015.1,48
2000-08,15.2,1015.6,63
2000-09,13.3,1008.7,100
2000-10,9.3,1003.9,84
2000-11,6.0,995.0,141
2000-12,5.3,1000.3,122
2001-01,3.6,1006.4,32
2001-02,4.3,1016.7,56
2001-03,5.0,1001.8,56
2001-04,7.2,1011.9,78
2001-05,11.4,1019.6,49
2001-06,12.8,1016.7,41
2001-07,15.2,1013.7,30
2001-08,14.9,1013.4,97
2001-09,12.8,1016.0,42
2001-10,12.3,1005.9,90
2001-11,7.8,1024.0,41
2001-12,4.6,1024.7,22
2002-01,6.8,1012.4,48
2002-02,6.5,,126
2002-03,7.2,1014.5,30
2002-04,8.1,1014.3,82
2002-06,13.1,1012.3,81
2002-07,14.4,1014.5,69
2002-08,15.1,1016.5,51
2002-09,12.6,1021.0,23
2002-10,9.5,1009.9,181
2002-11,8.5,999.7,187
2002-12,6.4,1012.3,98
2003-01,5.1,1014.9,63
2003-03,6.9,1019.9,27
2003-05,10.9,1012.0,97
2003-08,15.8,1019.4,14
2003-09,13.5,1019.0,37
2003-10,9.1,1015.6,107
2003-11,7.9,1007.3,55
2003-12,5.2,1016.5,60
2004-01,5.4,1006.4,83
2004-02,4.9,1021.6,20
2004-03,6.5,1017.9,44
2004-04,8.7,1011.8,32
2004-05,10.8,1017.1,50
2004-06,14.5,1016.7,51
2004-07,14.5,1015.6,38
2004-08,15.6,1009.0,134
2004-09,13.7,1016.1,47
2004-10,9.3,1003.9,120
2004-12,6.4,1016.4,45
2005-01,6.8,1019.1,64
2005-02,4.8,1024.3,41
2005-03,7.6,1016.0,22
2005-04,8.0,1012.0,72
2005-05,10.1,1015.1,67
2005-06,14.5,1017.7,31
2005-07,15.5,1016.3,83
2005-08,15.3,1018.2,26
2005-09,13.8,1016.1,56
2005-10,11.6,1010.7,102
2005-11,6.6,1014.7,47
2005-12,5.8,1017.1,74
2006-01,5.6,1021.3,16
2006-02,,1017.2,
2006-03,5.5,1007.6,70
2006-04,8.0,1014.7,41
2006-05,10.9,1011.5,117
2006-06,14.6,1020.0,27
2006-09,14.7,1009.3,85
2006-10,11.6,1006.5,107
2006-11,7.6,1009.4,69
2006-12,6.7,1013.3,95
2007-02,5.9,1004.8,76
2007-03,6.4,1015.8,39
2007-04,10.6,1023.2,15
2007-05,10.8,1010.4,15
2007-06,13.1,1011.3,126
2007-07,14.2,1009.4,127
2007-08,14.6,1016.3,95
2007-09,13.0,1021.5,39
2007-10,11.0,1022.2,16
2007-11,8.3,1020.4,54
2007-12,6.4,1015.9,64
2008-01,6.4,1006.4,97
2008-02,5.8,1018.7,15
2008-03,6.0,1005.8,102
2008-04,7.6,1010.2,28
2008-05,11.6,1015.6,33
2008-06,7.8,1024.0,41
2008-07,14.9,1011.3,111
2008-09,12.4,1015.6,114
2008-10,8.9,1011.6,93
2008-11,7.0,1013.8,45
2008-12,4.5,1017.3,39
2009-01,5.5,1005.4,59
2009-02,5.1,1016.5,56
2009-03,6.7,1013.9,26
2009-04,8.3,1010.8,71
2009-05,10.9,1015.1,75
2009-06,13.2,1017.5,64
2009-07,14.9,1008.9,165
2009-08,10.9,1015.1,76
2009-09,12.6,1021.9,24
2009-10,11.1,1013.5,63
2009-11,7.3,988.2,171
2009-12,3.6,1004.8,70
2010-01,1.7,1015.6,45
2010-02,2.3,1004.0,37
2010-03,4.9,1015.4,55
2010-04,7.8,1018.6,27
2010-05,9.6,1019.0,38
2010-06,14.1,1018.1,50
2010-07,16.0(+0.9),1012.4,79
2010-08,13.9,1014.5,48
2010-09,13.2,1013.1,103
2010-10,10.1,1011.0,31
2010-11,5.2(-1.8),1004.9,100
2010-12,0.0(-5.9),1016.3,58
2011-01,3.6,1017.7,29
2011-02,6.9,1008.7,75
2011-03,5.8,1021.4,19
2011-04,10.1,1018.8,28
2011-05,11.4,1014.5,37
2011-06,12.0,1013.7,64
2011-07,13.8,1013.1,43
2011-08,13.5,1012.0,40
2011-09,14.0,1008.5,65
2011-10,11.8,1012.7,169
2011-11,9.8,1011.8,49
2011-12,5.8(-0.1),1008.6,52
2012-01,6.1(+1.1),1018.5,63
2012-02,6.6(+1.6),1028.4,21
2012-03,8.0(+1.7),1026.9,26
2012-04,6.6(-1.3),1005.7,90
2012-05,9.8(-0.7),1017.2,60
2012-06,12.7(-0.7),1008.1,148
2012-07,14.0(-1.1),1012.4,85
2012-08,15.3(+0.4),1010.8,78
2012-09,12.0(-1.1),1013.7,83
2012-10,8.4(-2.2),1008.4,71
2012-11,6.4(-0.6),1007.1,72
2012-12,5.4(-0.5),1004.7,52
2013-01,4.9(-0.1),1009.9,94
2013-02,4.2(-0.8),1018.3,47
2013-03,3.1(-3.2),1009.2,86
2013-04,6.8(-1.1),1013.3,40
