date,avg_temperature,avg_airpressure,avg_precipitation
2000-01,9.6,1023.6,25
2000-03,15.4,1019.6,20
2000-04,13.6,1010.7,163
2000-07,22.3,1015.2,
2000-08,23.0,1016.8,5
2000-09,21.2,1015.8,19
2000-11,14.2,1017.0,189
2001-03,14.8,1012.1,154
2001-04,15.9,1019.4,12
2001-05,17.9,1015.4,30
2001-07,,1017.2,3
2001-08,22.4,1016.9,0
2001-09,21.1,1014.0,61
2001-10,13.7,1017.8,162
2001-11,13.4,1021.2,8
2001-12,10.2,1019.4,42
2002-01,12.5,1025.4,76
2002-02,13.4,1024.2,33
2002-04,15.5,1014.0,43
2002-05,16.8,1017.3,17
2002-06,19.7,1017.5,7
2002-07,21.8,1016.7,0
2002-08,22.1,1015.9,0
2002-09,20.1,1014.7,82
2002-11,14.9,1016.3,196
2003-01,11.5,1023.4,135
2003-02,12.0,1019.2,89
2003-03,14.7,1018.3,76
2003-04,15.4,1013.3,122
2003-05,19.4,1018.3,2
2003-06,21.7,1015.4,5
2003-07,22.3,1017.7,2
2003-08,24.5,1015.5,35
2003-09,22.6,1017.7,8
2003-10,11.5,1023.4,135
2003-11,14.7,1016.4,131
2003-12,11.5,1020.0,89
2004-01,12.6,1021.7,154
2004-02,12.0,1018.8,40
2004-03,13.1,1020.8,64
2004-04,15.6,1015.0,19
2004-05,17.9,1015.5,14
2004-06,22.9,1017.7,0
2004-07,23.4,1017.0,0
2004-08,23.1,1015.9,25
2004-09,21.7,1017.8,33
2004-10,18.1,1014.1,116
2004-11,13.9,1019.9,36
2004-12,11.7,1021.5,16
2005-02,10.5,1019.5,10
2005-03,14.0,1016.5,40
2005-04,15.9,1017.3,25
2005-05,18.6,1017.2,19
2005-07,20.4,1016.0,0
2005-11,13.7,1017.5,158
2005-12,12.0,1020.2,48
2006-01,10.2,1019.6,54
2006-02,11.2,1017.1,76
2006-04,16.8,1014.1,51
2007-01,11.2,1026.5,43
2007-03,14.4,1022.0,17
2007-05,17.5,1016.8,45
2007-06,19.6,1015.5,33
