date,avg_temperature,avg_airpressure,avg_precipitation
2003-03,10.2,1022.8,15
2003-05,14.7,1018.2,75
2003-06,21.1,1015.9,29
2003-07,21.3,1016.3,27
2003-08,24.1,1017.0,50
2003-09,16.3,1020.4,14
2003-10,9.6,1013.1,65
2003-11,8.4,1015.5,43
2003-12,4.9,1019.0,38
2004-01,4.8,1012.3,92
2004-02,5.4,1021.8,4
2004-03,7.0,1021.4,31
2004-04,10.9,1013.2,61
2004-05,13.7,1016.1,42
2004-06,18.2,1019.0,20
2004-07,19.1,1016.9,51
2004-08,20.0,1012.7,68
2004-09,17.4,1020.4,11
2004-10,12.3,1010.4,87
2004-11,7.8,1022.7,20
2004-12,3.3,1020.7,53
2005-01,5.2,1025.1,51
2005-02,3.1,1020.8,28
2005-03,7.5,1017.4,48
2005-04,11.4,1014.7,38
2005-05,14.6,1017.4,42
2005-06,19.5,1018.7,46
2005-07,20.2,1016.1,36
2005-08,18.8,1018.5,24
2005-09,17.6,1018.8,31
2005-10,15.2,1016.9,16
2005-11,6.2,1018.5,25
2005-12,3.8,1019.5,26
2006-01,2.9,1023.4,27
2006-02,3.2,1015.9,63
2006-03,5.9,1011.5,80
2006-04,10.6,1016.4,30
2006-05,14.7,1016.3,60
2006-06,19.1,1020.2,29
2006-07,24.2,1018.3,57
2006-08,17.2,1014.1,68
2006-09,18.7,1014.6,49
2006-10,14.5,1013.4,41
2006-11,8.9,1018.9,47
2006-12,5.2,1024.7,51
2007-01,7.4,1022.0,40
2007-02,7.9,1011.4,72
2007-03,7.7,1017.3,45
2007-04,15.1,1019.7,5
2007-05,15.2,1012.3,73
2007-06,18.1,1013.0,92
2007-07,18.1,1014.6,71
2007-08,17.6,1015.8,139
2007-09,14.8,1021.2,19
2007-10,11.2,1023.5,35
2007-11,6.6,1021.9,32
2007-12,3.9,1023.8,52
2008-01,6.2,1019.0,48
2008-02,6.3(+1.7),1025.5,36
2008-03,7.2(+0.4),1010.0,61
2008-04,9.7(-0.1),1011.4,50
2008-05,16.7(+3.2),1013.2,54
2008-06,17.9(+1.2),1017.5,20
2008-07,19.7(+0.8),1015.9,49
2008-08,18.9(+0.3),1014.2,82
2008-09,14.5(-1.5),1017.9,13
2008-10,10.7(-1.2),1018.0,60
2008-11,7.5(+0.7),1015.3,49
2008-12,3.1(-1.0),1019.3,29
2009-01,1.3(-2.0),1014.5,49
