date,avg_temperature,avg_airpressure,avg_precipitation
2007-12,0.2,1022.9,13
2008-01,1.1,1019.5,68
2008-02,3.1,1023.2,28
2008-03,3.8,1003.7,39
2008-04,9.4,1011.3,28
2008-05,13.8,1016.6,35
2008-06,18.9,1014.9,22
2008-07,19.4,1013.7,88
2008-08,18.7,1012.5,87
2008-09,12.8,1018.1,61
2008-10,10.1,1016.9,15
2008-11,5.2,1013.7,29
2009-01,-2.7,1016.9,19
2009-02,-0.6,1011.9,33
2009-03,2.7,1011.2,44
2009-04,11.3,1018.3,6
2009-05,13.6,1018.0,79
2009-06,16.2,1013.0,149
2009-07,20.0,1013.2,88
2009-08,18.5,1017.9,60
2009-09,15.5,1019.8,13
2009-10,6.9,1015.2,67
2009-11,5.7,1012.2,51
2009-12,-1.0,1011.3,45
2010-01,-8.0,1019.5,25
2010-02,-1.8,1008.7,37
2010-03,3.9,1015.0,24
2010-04,9.5,1018.2,39
2010-05,13.6,1010.2,116
2010-06,17.8,1013.1,87
2010-07,21.9,1014.6,92
2010-08,19.7,1012.3,143
2010-09,12.4,1015.0,89
2010-10,6.1,1019.1,3
2010-11,5.8,1006.5,109
2010-12,-5.4,1011.3,34
2011-01,-0.5,1018.2,39
2011-02,-3.8,1020.7,21
2011-03,3.3,1022.7,8
2011-04,11.1,1016.5,34
2011-05,14.4,1019.1,48
2011-06,19.0,1014.4,49
2011-07,18.0,1009.4,295
2011-08,18.9,1014.9,62
2011-09,15.1,1017.1,7
2011-10,8.5,1021.2,9
2011-11,3.0,1026.0,0
2011-12,2.6,1011.6,32
2012-01,-1.0,1016.3,47
2012-02,-6.1,1024.0,35
2012-03,4.7,1021.6,21
2012-04,9.4,1007.3,55
2012-05,15.6,1016.0,56
2012-06,17.3,1012.8,63
2012-07,21.1,1014.3,73
2012-08,19.1,1016.2,3
2012-09,14.7,1015.8,28
2012-10,8.2,1014.1,58
2012-11,5.8,1015.5,29
2012-12,-3.1,1015.2,31
2013-01,-3.5,1013.6,49
2013-02,-0.4,1015.5,25
2013-03,-1.8,1013.0,23
2013-04,8.0,1016.6,48
2013-05,15.5,1011.1,133
2013-06,18.6,1014.8,85
2013-07,20.1,1017.2,20
2013-08,19.7,1018.1,60
2013-09,12.4,1014.3,92
2013-10,10.4,1019.5,30
2013-11,5.6,1014.5,28
2013-12,2.4,1020.1,19
2014-01,-2.6,1016.1,48
2014-02,1.9,1014.3,14
2014-03,7.0,1016.5,35
2014-04,10.7,1014.8,44
2014-05,14.5,1014.6,90
2014-06,16.4,1015.0,74
2014-07,21.4,1014.0,73
2014-08,18.2,1013.0,68
2014-09,15.1,1018.5,8
2014-10,15.1,1018.5,8
2014-11,4.8,1020.3,16
2014-12,0.9,1017.4,82
2015-01,1.4,1012.7,39
2015-02,1.1,1017.6,6
2015-03,5.5,1020.4,30
2015-04,8.6,1015.8,35
2015-05,13.4,1015.2,39
2015-07,20.2,1014.1,59
2015-07,20.2,1014.1,59
2015-08,23.1,1018.1,8
2015-08,23.1,1018.1,8
2015-09,15.4,1017.7,58
2015-09,15.4,1017.7,58
2015-10,7.5,1022.5,40
2015-12,4.7,1026.0,17
2016-01,-2.9,1015.2,21
2016-03,4.2,1014.8,33
